Pregunta;Opción1;Opción2;Opción3;Opción4
¿Qué indica la notación 192.168.12.5/24?;La dirección IP de 192.168.12.5 pertenece a una red especial.;La dirección IP es un número privado.;El /24 indica el la cantidad de equipos que se pueden conectar.;El /24 indica que los primeros 24 bits son la parte de red.
¿Cuál es el propósito de la dirección IP en una red?;Regular la velocidad de la transferencia de datos.;Asegurar la autenticidad de los mensajes.;Identificar de manera única un dispositivo en una red.;Conectar dispositivos físicos directamente.
¿Cómo se representan las direcciones IPv6?;En formato decimal.;En formato octal.;En formato hexadecimal.;En formato binario.
¿Cómo se identifica un datagrama concreto en el proceso de fragmentación de IPv4?;Con la dirección IP de origen.;Con el checksum.;Con el TTL.;Con el campo de identificación (16 bits).
¿Qué permite el direccionamiento lógico en la comunicación de red?;Cambiar las direcciones físicas de manera dinámica.;Diferenciar entre redes.;Facilitar la conexión física entre dispositivos.;Aumentar la velocidad de transferencia.
¿Cuál es el dispositivo por excelencia de la capa de red?;Módem.;Router.;Switch.;Repetidor.
¿Qué significa que en una red se haga supernetting?;Asignación de direcciones IP estáticas.;Agrupación de múltiples subredes en una sola red más grande.;Segmentación de una red grande en subredes más pequeñas.;Implementación de direcciones multicast.
¿Qué enfoque alternativo se utiliza a NAT en redes IPv6?;PAT.;Port Forwarding.;En IPv6 no es preciso NAT.;NAT64.
A la hora de configurar NAT-PAT en VirtualBox, ¿a qué se refiere la IP del anfitrión?;No tiene importancia en la configuración.;Es la dirección IP de la máquina física donde se ejecuta VirtualBox.;Es la dirección IP de la máquina virtual.;Es el mismo que el puerto invitado.
¿En qué consiste el mecanismo de doble pila?;Mejorar la performance de la red.;Permitir conexiones simultáneas IPv4 e IPv6.;Usar dos tipos diferentes de direcciones IP en una red.;Aumentar la seguridad de la red.
"¿Qué es el ""padding"" en la cabecera de IP?";Relleno para asegurar que la cabecera sea múltiplo de 32 bits.;Parte que contiene los datos transportados.;Filtro para priorizar paquetes.;Mecanismo para la fragmentación.
¿Cuál es la diferencia principal entre servicios orientados a conexión y servicios orientados a datagrama?;Los servicios orientados a conexión establecen una sesión antes de la transmisión, mientras que los orientados a datagrama no lo hacen.;Los servicios orientados a conexión son más rápidos que los orientados a datagrama.;Los servicios orientados a datagrama son más seguros que los orientados a conexión.;No hay diferencias significativas entre ellos.
"¿Qué indican los ""Flags"" (DF y MF) en la cabecera IP?";Cuestiones relativas a la fragmentación del paquete.;La longitud del paquete.;El protocolo de la capa de transporte.;La dirección de destino del paquete.
"¿Cuál es el valor del campo ""versión"" en hexadecimal en un paquete IPv4?";0x6.;0x8.;0xA.;0x4.
¿Cuál es la longitud de la parte obligatoria de la cabecera de un paquete IP?;512 bits (64 bytes).;160 bits (20 bytes).;128 bits (16 bytes).;32 bits (4 bytes).
¿Cuál es la dirección de loopback en IPv6?;fe80::1;::0;::1;127.0.0.1
¿Qué funciones especiales realiza NAT?;Permitir la comunicación entre redes privadas y públicas.;Incrementar la privacidad al ocultar direcciones IP internas.;Compartir una única dirección IP con múltiples dispositivos.;Todas las respuestas son correctas.
¿Cuál de los siguientes protocolos es utilizado para enviar paquetes de datos entre diferentes redes?;Telnet.;FTP.;IP.;HTTP.
En NAT-PAT, cuando se menciona el puerto invitado, ¿a qué se refiere?;No se usa en la configuración de NAT-PAT.;Es el puerto en el que la aplicación se ejecuta dentro de la máquina virtual.;Es el puerto que la máquina física utiliza para comunicarse.;Es el mismo puerto que el del anfitrión.
¿Cuál es el propósito principal de NAT en una red empresarial?;Permitir acceso a Internet sin exponer direcciones internas.;Monitorear el tráfico de red.;Aumentar la seguridad en redes de área local.;Mejorar la velocidad de conexión a Internet.
En la configuración de NAT-PAT, ¿qué representa el puerto del anfitrión?;Es el puerto de la máquina física que se expone para acceder a la aplicación en la VM.;Es un puerto reservado que no se puede cambiar.;Es el puerto donde se ejecuta la máquina virtual.;Es irrelevante para el funcionamiento de NAT-PAT.
¿Para qué sirve el protocolo ARP?;Enviar mensajes de error.;Controlar el tráfico de red.;Traducir direcciones IP en direcciones MAC.;Asignar direcciones IP a dispositivos.
